,Name,address,city,state,zip,website,facebook,manager_name,email,phone,MarketName,stateFIPS,CSA_ID
111,"Spring House Farm, LLC",37864 Long Lane,Lovettsville,Virginia,20180,SpringHouseFarmVA.com,https://www.facebook.com/SpringHouseFarm,Andrew Crush,springhousefarmva@gmail.com,703-728-6623,"143.8 Spring House Farm, LLC",51,3004622
112,"Sun One Organic Farm, LLC ",50 Maddox Road ,Bethlehem,Connecticut,6751,http://www.facebook.com/pages/Sun-One-Organic-Farm/141754712550613?,https://www.facebook.com/pages/Sun-One-Organic-Farm/141754712550613,Rob Maddox ,sun1organic@aol.com,203-266-7973,"144.5 Sun One Organic Farm, LLC ",9,3000541
113,Aliabaad Farm,4040 Mills Road,Sharpsburg,Maryland,21782,,https://www.facebook.com/aliabaad.farm,Ali Mohadjer,Ali@satways.com,301-432-6863,144.6 Aliabaad Farm,24,3001528
114,Star Hollow Farm,22620 Doyle Rd.,Three Springs,Pennsylvania,17264,www.starhollowfarm.com,,Randy Treichler,info@starhollowfarm.com,814-448-3223,146.8 Star Hollow Farm,42,3004023
115,Farmers Kitchen,PO Box 1386,Jamesport,New York,11947,farmerskitchens.com,farmerzkitchen,Emilie Zaweski,emilie@farmerskitchens.com,631-727-7044,147.3 Farmers Kitchen,36,3010761
116,Full Circus Farm,27 Mils Path,Pine Plains,New York,12567,https://fullcircusfarm.wordpress.com,https://www.facebook.com/fullcircusfarm,Mark Stonehill,fullcircusfarm@gmail.com,518-789-0025,148.1 Full Circus Farm,36,3011788
117,Plowshare Produce,12936 Greenwood Road,Huntingdon,Pennsylvania,16652,http://www.plowshareproduce.com,,Micah and Bethany Spicher Schonberg,plowshareproduce@yahoo.com,814-667-2756,149.3 Plowshare Produce,42,3003977
118,Browder's Birds Pastured Poultry,4050 Soundview Avenue ,Mattituck ,New York,11952,www.browdersbirds.com,https://www.facebook.com/BrowdersBirds,Holly Browder,holly@browdersbirds.com,631-477-6523,150.5 Browder's Birds Pastured Poultry,36,3002931
119,Laurel Ridge Farm,164 Wigwam Road,Litchfield,Connecticut,6759,www.lrgfb.com,,John Morosani,john@lrgfb.com,860-567-8122,150.6 Laurel Ridge Farm,9,3005528
120,Moon on the Mountain Farm,2927 Warm Springs Rd,Shenandoah Junction,West Virginia,25442,www.moononthemountain.com,,Patricia Stephenson,patricia@moononthemountain.com,3019084585,151.1 Moon on the Mountain Farm,54,3005352
121,Great Country Farms,18780 Foggy Bottom Rd,Bluemont,Virginia,20132,http://www.greatcountryfarms.com,https://www.facebook.com/greatcountryfarms,Mark and Kate Zurschmeide,CSA@greatcountryfarms.com,540-554-2073,151.7 Great Country Farms,51,3004551
122,Hearty Roots Community Farm,1830 Route 9,Germantown,New York,12526,http://www.heartyroots.com,http://www.facebook.com/heartyroots,Benjamin Shute,farm@heartyroots.com,845-943-8699,151.7 Hearty Roots Community Farm,36,3003068
123,Karl's Farm,5550 Stuckey Rd,Pisgah,Maryland,20640,http://Karls-Farm.com,https://www.facebook.com/Karls.Farm.CSA,Karl and Paula Wiegand,paula@karls-farm.com,301-743-7941,152.7 Karl's Farm,24,3001591
124,Lakeside Farm Stand,31 Lake Drive,Guilford ,Connecticut,6437,lakesidefarmstand.com,,Toni Schiano,Lakesidefarmstand@gmail.com,2034570152,152.7 Lakeside Farm Stand,9,3011858
125,Geremia Gardens ,1720 West street,Southington,Connecticut,6489,,,Mary Lou Geremia,geremiagardenes@yahoo.com,8606200332,156.4 Geremia Gardens ,9,3011860
126,Stoneledge Farm,359 Ross Ruland Road,South Cairo,New York,12482,www.stoneledge.farm,https://www.facebook.com/StoneledgeFarm#,Deborah Kavakos,stoneledgefarm@hotmail.com,518-622-3003,158.1 Stoneledge Farm,36,3005647
127,Day Spring Farm,21388 Steptoe Hill Rd ,Middleburg,Virginia,20117,Www.dayspringfarmva.com,https://www.facebook.com/dayspringfarmva/,Jessie Baker,Dayspring.farm@hotmail.com,540-687-6036,158.1 Day Spring Farm,51,3005724
128,Quail Hill Farm/Peconic Land Trust,PO Box 1776,Southampton,New York,11969,www.peconiclandtrust.org/quail_hill_farm.html,https://www.facebook.com/QuailHillFarm,Scott Chaskey,schaskey@peconiclandtrust.org,631-267-8492,158.8 Quail Hill Farm/Peconic Land Trust,36,3003196
129,Copper Hill Farm,3550 Mountain Rd.,Haymarket,Virginia,20169,,,Patricia Paris,paris@copperhillfarm.com,703-508-7500,159.3 Copper Hill Farm,51,3004517
130,Howling Flats Farm ,19 Raymond Avenue,North Canaan,Connecticut,6018,www.howlingflatsfarm.com,www.facebook.com/howlingflats,Kelley Babbin,howlingflatsfarm@gmail.com,8603798961,160.2 Howling Flats Farm ,9,3005738
131,Farm of Peace CSA,1212 Haven Ln,Warfordsburg,Pennsylvania,17267,http://www.farmofpeace.com,https://www.facebook.com/farmofpeace/,Matt Belmont,csa@farmofpeace.com,(717) 573-4722,161.3 Farm of Peace CSA,42,3010759
132,nook & cranny farm,424 harford rd,brooktondale,New York,14817,nookandcrannyfarm.com,https://www.facebook.com/NookAndCrannyFarm,robert tuori,btuori@gmail.com,607 539 6580,162.2 nook & cranny farm,36,3005433
133,Hawk Dance Farm,362 Rodman Road,Hillsdale,New York,12529,,https://www.facebook.com/hawkdancefarm,"Damon Clift, Diane Creed",hawkdancefarm@yahoo.com,518-325-1430,162.6 Hawk Dance Farm,36,3005462
134,Yellow House Farm,216 Arbutus St,Middletown,Connecticut,6457,www.yellowhousefarmct.com,,Jennifer Scott,yhf@yellowhousefarm.com,860-740-6761,162.7 Yellow House Farm,9,3011804
135,Yankey Farms,14841 Glenkirk Rd,Nokesville,Virginia,20181,www.yankeyfarms.com,https://www.facebook.com/yankeyfarms,James Yankey,sonjanjay@verizon.net,703-618-3782,162.9 Yankey Farms,51,3004645
136,Deep River Farms,362 West Elm Street,Deep River,Connecticut,6417,www.deepriverfarms.com,https://www.facebook.com/Deepriverfarms/,Kelly Angelini,farmer@deepriverfarms.com,8605989824,163.7 Deep River Farms,9,3005721
137,Hiddenview Farm ,165 Conrad ln,Earlton,New York,12058,www.hiddenviewfarmNY.com,www.facebook.com/hiddenviewfarms,Jessica Schwed,jessica.hiddenviewfarm@gmail.com,5182580283,163.8 Hiddenview Farm ,36,3011888
138,Cool Spring Farm LLC,950 Glebe Lane,Berryville,Virginia,22611,www.coolspringcsa.com,https://www.facebook.com/coolspringfarm,Mike Cassidy,mike@coolspringcsa.com,571-238-1931,163.9 Cool Spring Farm LLC,51,3004514
139,Hawthorne Valley Farm CSA,327 County Route 21C,Ghent,New York,12075,http://hawthornevalleyfarm.org/where-to-buy/community-supported-agriculture-csa/,https://www.facebook.com/HawthorneValleyFarm,Lucy Marston,farmadmin@hawthornevalleyfarm.org,518-672-7500 x257,164.9 Hawthorne Valley Farm CSA,36,3005507
140,Fatstock Farm,271 Hollow Road,Stuyvesant,New York,12173,www.fatstockfarm.com,https://www.facebook.com/fatstockfarm,John Agostinho,john@fatstockfarm.org,7187373773,166.8 Fatstock Farm,36,3002996
141,George Hall Farm,180 Farms Rd,Simsbury,Connecticut,6070,http://www.georgehallfarm.com,https://www.facebook.com/pages/George-Hall-Farm-Ogre-Farm/106720546028097,George Hall,georgehallfarm@att.net,860-658-9297,170.3 George Hall Farm,9,3000497
142,Deep River Farms 2016 Summer CSA,230 Shore Road,Old Lyme,Connecticut,6371,http://deepriverfarms.com/,https://www.facebook.com/Deepriverfarms/?fref=ts,Danielle Gallagher,dgallagher@simpsonhealthcare.com,860-598-9824,170.8 Deep River Farms 2016 Summer CSA,9,3005710
143,Katchkie Farm / Great Performances,34 Fischer Road,Kinderhook,New York,12106,katchkiefarm.com,https://www.facebook.com/pages/Katchkie-Farm/130428156986854,Amy Black,amy.black@katchkiefarm.com,212-337-6087,171.0 Katchkie Farm / Great Performances,36,3003097
144,Buried Treasures Organic Farm CSA,808 Clark St. Ext.,Groton,New York,13073,www.buriedtreasuresorganicfarm.com,www.facebook.com/btofarm,Mary McGarry-Newman,buriedtreasuresorganicfarm@yahoo.com,607-220-4044,176.5 Buried Treasures Organic Farm CSA,36,3005732
145,Fox Creek Farm,182 Fox Creek Farm Rd,Schoharie,New York,12157,www.foxcreekfarmcsa.com,https://www.facebook.com/pages/fox-creek-farm-csa,Raymond Luhrman,foxcreekfarmcsa@earthlink.net,518-872-2375,177.3 Fox Creek Farm,36,3003009
146,Plowbreak Farm,6200 Deer Run Lane,Trumansburg,New York,14886,www.plowbreakfarm.com,https://www.facebook.com/plowbreakfarm,Kara Cusolito,plowbreakfarm@gmail.com,508-274-1375,177.4 Plowbreak Farm,36,3003186
147,Frosty Morning Farm,4211 State Route 13,Truxton,New York,13158,,,Alison Frost,frostymorningfarm@yahoo.com,607-842-6799,178.0 Frosty Morning Farm,36,3005441
148,Patroon Land Farm,132 Ketcham Road,Voorheesville,New York,12186,http://www.regionalfoodbank.net,https://www.facebook.com/PatroonLandFarm,Mark Weinheimer,mrw601@gmail.com,518-339-5726,180.0 Patroon Land Farm,36,3003174
149,Ever Green Farm,5942 Old Lake Road,Rock Stream,New York,14878,http://www.evergreenfarmonline.com,https://www.facebook.com/pages/Ever-Green-Farm-CSA/266217320186934,Joe & Joely Zerbey,Info@EverGreenFarmOnline.com,607 243-3613,181.1 Ever Green Farm,36,3005749
150,Hickory Ridge Natural Harvest CSA,668 Strongs Road,Irvona,Pennsylvania,16656,http://www.hrnaturalharvest.com/,,Dennis Nebgen,hrnhcsa@gmail.com,814-505-5274,182.0 Hickory Ridge Natural Harvest CSA,42,3005426
151,Abode Farm CSA,5 Abode Road,New Lebanon,New York,12125,www.abodefarmcsa.com,facebook.com/abodefarmcsa,Evan Thaler,abodecsa@gmail.com,518-794-9776,184.7 Abode Farm CSA,36,3002899
152,Bart & Sarah's at Great Oak Farm,16034 Little Fork Church Rd,Rixeyville,Virginia,22737,http://www.bartandsarahs.com,https://www.facebook.com/bartandsarahs,Sarah Shepard Mobius,sarah@bartandsarahs.com,540-687-1265,185.2 Bart & Sarah's at Great Oak Farm,51,3004486
153,Dizzy Lizzie's Farm,3823 Sanderson Road,Erieville,New York,13061,www.dizzylizziesfarm.com,https://www.facebook.com/dizzylizziesfarm?ref=hl,Elizabeth Blackburn,lizzie@dizzylizziesfarm.com,315-662-7565,187.0 Dizzy Lizzie's Farm,36,3005524
154,Miller Farms Market,12101 Orange Plank Rd,Locust Grove Va,Virginia,22508,millerfarmsmarket.com,miller farms market,Ben Miller,info@millerfarmsmarket.com,540 850 5009,187.5 Miller Farms Market,51,3005625
155,Daring Drake Farm,3046 CR 138,Ovid,New York,14521,www.daringdrake.com,,Shannon O'Connor,daringdrake@zoom-dsl.com,607-532-4956,190.5 Daring Drake Farm,36,3002976
156,Crosswinds Farm & Creamery,6762 Log City Rd,Ovid,New York,14521,www.crosswindsfarmcreamery.com,https://www.facebook.com/pages/Crosswinds-Farm-Creamery/79559668108,Sarah VanOrden,crosswindsfarmcreamery@gmail.com,607-327-0363,190.5 Crosswinds Farm & Creamery,36,3003295
157,Cobblestone Farm,87 Bassetts Bridge Rd,Mansfield Center,Connecticut,6250,https://cobblestonefarmcsa.com/,https://www.facebook.com/cobblestonefarmcsa/,Diane Dorfer,dianedorfer@gmail.com,860-423-8305,191.0 Cobblestone Farm,9,3011801
158,Red Shirt Farm,60 Williamstown Road,Lanesborough,Massachusetts,1237,https://www.redshirtfarm.com/csa/,,Jim Schultz,jim@redshirtfarm.com,4138229250,191.5 Red Shirt Farm,25,3011803
159,Hillside farm,po box 326,nelliston,New York,13410,,,,Jplipiec@gmail.com,5183329143,192.0 Hillside farm,36,3011795
160,Lansing Farm Market ,204 Lishakill Rd,Schenectady,New York,12309,www.lansingfarmmarket.com,https://www.facebook.com/LansingFarmMarket,Jessica Lansing,LansingFarmMarket@yahoo.com,518-464-0889,192.9 Lansing Farm Market ,36,3003113
161,Edible Uprising Farm,40 Springwood Manor,Troy ,New York,12180,https://www.edibleuprisingfarm.com,https://facebook.com/edibleuprisingfarm/,Ben Stein,Info@edibleuprisingfarm.com,303-817-6084,194.9 Edible Uprising Farm,36,3011875
162,H and H Farms,161 Seven Fountains Road,Fort Valley,Virginia,22652,www.handhfarmsva.com,www.facebook.com/HandHFarmsVirginia,Taylor Bridges,handhfarmsva@gmail.com,5406929808,195.0 H and H Farms,51,3011872
163,Crabapple Farm,100 Bryant Street PO Box 263,Chesterfield,Massachusetts,1012,http://crabapplefarm.org,,Tevis and Rachel Robertson-Goldberg,crabapplefarm@verizon.net,413-296-0310,195.4 Crabapple Farm,25,3001433
164,Green Acres Fruit Farm,868 Main Street,Wilbraham,Massachusetts,1095,greenacresfruitfarm@outlook.com,Green Acres Fruit Farm,Kathleen A Smedberg,greenacresfruitfarm@outlook.com,4135963016,196.1 Green Acres Fruit Farm,25,3005572
165,KDCrop Farms,275 South Bear Hill Rd.,CHAPLIN,Connecticut,6235,http://kdcropfarms.weebly.com,,Kelly Caisse,kdcropfarms@gmail.com,203-592-4939,196.2 KDCrop Farms,9,3011811
166,Jones Family Farm,753 Caldwell Rd,Herkimer,New York,13350,www.anotherjonesfamilyfarm.com,https://www.facebook.com/pages/Jones-Family-Farm/268448737232,Suzie Jones,info@anotherjonesfamilyfarm.com,315-866-4164,196.5 Jones Family Farm,36,3003093
167,Russo's Roots LLC,289 North Society Rd,Canterbury ,Connecticut,6331,Www.russosroots@gmail.com,https://www.facebook.com/russosrootsfarm/,Libby Tarleton,Russosroots@gmail.com,8605569325,196.8 Russo's Roots LLC,9,3012941
168,Connecticut Farm to Table Cooperative,140 Beffa Road,Stafford Springs,Connecticut,6076,http://www.ctfarmtable.com,https://www.facebook.com/ctfarmtable,Chris Joseph,ctfarmtable@gmail.com,860-684-1311,197.4 Connecticut Farm to Table Cooperative,9,3000488
155,Dayspring Farm, 942 Buena Vista Road,Cologne,Virginia,23181,www.dayspringfarm.org,,Charlie and Miriam Maloney,dayspringfarm@aol.com,804-785-9401,193.9 Dayspring Farm,51,3004524
157,"Brightwood Vineyard and Farm, LLC",1202 Lillards Ford Road,Brightwood,Virginia,22715,www.brightwoodvineyardandfarm.com,https://www.facebook.com/BrightwoodVineyardandFarm,Susan Vidal,svidal@hughes.net,540-948-6845,"195.5 Brightwood Vineyard and Farm, LLC",51,3004501
159,Mattawoman Creek Farms,"4103 Barlow Creek Lane, PO Box 689",Eastville,Virginia,23347,http://www.mattawomancreekfarms.com/,https://www.facebook.com/MattawomanCreekFarms,Rick Felker,organic@mattawomancreekfarms.com,757-678-5731,197.0 Mattawoman Creek Farms,51,3004576
