Company Name,Executive First Name,Executive Last Name,Executive Gender,Executive Title,Executive Ethnicity,Address,City,State,ZIP Code,Record Type,Phone Number,Website,Primary SIC Description,Location Sales Range,Credit Alpha Score
Firmenich Inc,Johan,Firmenich,Male,President,Western Europe,150 Firmench Way,Newark,NJ,7114,Verified,(973) 491-2780,Firmenich.Com,Flavoring Extracts (Whls),$10-20 Million,B+
Flavor Materials Intl,Paul,Ahn,Male,President,Far Eastern,10 Engelhard Ave,Avenel,NJ,7001,Verified,(732) 499-9700,Flavormaterials.Com,Flavoring Extracts-Manufacturers,$10-20 Million,A+
Flavor Materials Intl,Ian,Gorenstin,Male,President,Uncoded,700 Gotham Pkwy # 4,Carlstadt,NJ,7072,Verified,(732) 499-9700,Flavormaterials.Com,Flavoring Extracts-Manufacturers,$10-20 Million,A+
Food & Beverage Inc,Luis,Febus,Male,Director,Hispanic,100 Hollister Rd,Teterboro,NJ,7608,Verified,(201) 462-9570,Chriscookies.Com,Beverages (Whls),$5-10 Million,B
Foods By George,George,Chookazian,Male,Owner,Centl & SW Asian,3 King St,Mahwah,NJ,7430,Verified,(201) 684-0333,Foodsbygeorge.Com,Bread/Other Bakery Prod-Ex Cookies,"Less Than $500,000",B
Fratt Inc,Hakan,Bas,Male,Owner,Native American,378 Bergen Blvd # 204,Fairview,NJ,7022,Verified,(201) 414-5666,NULL,Bakers-Wholesale,$20-50 Million,A
Fresh Cut Produce LLC,Harold,Miller,Male,Vice President,Western Europe,59 Joseph St,Newark,NJ,7105,Verified,(973) 274-6300,Freshcutpro.Com,Fruits & Vegetables-Wholesale,$100-500 Million,A+
Freshicas Juice Bar,Jessica,Dalmedo,Female,Owner,Hispanic,93 Black Point Rd,Rumson,NJ,7760,Verified,(732) 788-9980,Freshicasjuicebar.Com,Juice Bars,"Less Than $500,000",C+
Freshpet Inc,Scott,Morris,Male,President,Western Europe,400 Plaza Dr # 1,Secaucus,NJ,7094,Verified,(201) 520-4000,Freshpet.Com,Pet Supplies & Foods-Retail,0,A
Fruitilandia,Isle K,Martinez,Female,Owner,Hispanic,357 Monroe St,Passaic,NJ,7055,Verified,(973) 246-7366,NULL,Restaurants,"Less Than $500,000",C+
George E Assadourian Inc,Mike,Assadourian,Male,Owner,Centl & SW Asian,355 Anderson Ave,Fairview,NJ,7022,Verified,(201) 941-5662,Lahmajun.Com,Food Products & Manufacturers,$1-2.5 Million,B
Gerber Products Co,Kevin,Goldberg,Male,Vice President,Not Available,12 Vreeland Rd # 2,Florham Park,NJ,7932,Verified,(973) 593-7599,Gerber.Com,Baby Food (Whls),0,A+
Ginsburg Bakery,Dan,Mulloy,Male,CFO,Western Europe,151 Benigno Blvd,Bellmawr,NJ,8031,Verified,(609) 345-2265,Ww12.Ginsburgbakery.Com,Bread/Other Bakery Prod-Ex Cookies,$10-20 Million,A+
Givaudan Flavors Corp,Sacha,Kazan,Female,Director,Western Europe,245 Merry Ln,East Hanover,NJ,7936,Verified,(973) 386-9800,Givaudan.Com,Flavoring Extracts & Syrups NEC (Mfrs),$100-500 Million,A+
Golden Chicken,George,Hernandez,Male,Manager,Hispanic,50 E State St # 6,Trenton,NJ,8608,Verified,(609) 695-2696,NULL,Restaurants,"Less Than $500,000",C+
Gourmet Foods,Alfred,Fuchs,Male,Partner,Western Europe,25 Andrews Dr # 2,Woodland Park,NJ,7424,Verified,(973) 237-1776,Gourmetfoodsinc.Com,Food Products & Manufacturers,$10-20 Million,A+
Goya Foods Inc,Robert I,Unanue,Male,President,Hispanic,350 County Rd,Jersey City,NJ,7307,Verified,(201) 348-4900,Goya.Com,Food Products (Whls),0,A+
Grape Beginnings Hands On Wnry,Ryan,Martinez,Male,Owner,Hispanic,151 Industrial Way E # B2,Eatontown,NJ,7724,Verified,(732) 380-7356,NULL,Wines-Retail,$1-2.5 Million,B+
Great American Veal Co Inc,Zarko,Grgas,Male,President,Eastern European,50 Avenue L # 5,Newark,NJ,7105,Verified,(973) 589-6363,NULL,Meat Packers (Mfrs),$20-50 Million,A+
Great Garlic Foods,Joe,DE Santis,Male,Owner,Hispanic,709 5th Ave,Bradley Beach,NJ,7720,Verified,(732) 775-3311,Uniregistry.Com,Food Products & Manufacturers,$1-2.5 Million,B+
Greenland Dairy,Jose,Rojas,Male,Manager,Hispanic,20 W End Rd # 1,Totowa,NJ,7512,Verified,(973) 837-6798,NULL,Dairy Products-Retail,"Less Than $500,000",C
Greenleaf Compassion Ctr,Julio,Valentin,Male,CEO,Hispanic,395 Bloomfield Ave,Montclair,NJ,7042,Verified,(973) 337-5670,Greenleafcompassion.Com,Marijuana Growers/Cultivators,"Less Than $500,000",C+
H Lopes Co,Hermino N,Lopes,Male,President,Hispanic,304 Walnut St,Newark,NJ,7105,Verified,(973) 344-3063,NULL,Meat-Wholesale,$5-10 Million,A
Happy Orchard,Efren,Mateo,Female,Manager,Hispanic,131 W Commercial Ave,Moonachie,NJ,7074,Verified,(201) 559-5635,Thehappyorchard.Com,Orchards,"$500,000-1 Million",C+
Harmony Ridge Farm-Campground,Ed,Risdon,Male,Owner,Hispanic,23 Risdon Dr,Branchville,NJ,7826,Verified,(973) 948-4941,Harmonyridgefarmandcampground.Com,Campgrounds,$1-2.5 Million,B
Hartz Mountain Corp,Frank,Cursi,Male,Vice President,Mediterranean,400 Plaza Dr # 400,Secaucus,NJ,7094,Verified,(201) 271-4800,Hartz.Com,Dog & Cat Food (Mfrs),0,A
Heritage Distributors Intl,Elizabeth,Mensah,Female,Owner,African American,78 Empire St,Newark,NJ,7114,Verified,(973) 622-4406,NULL,Grocers-Wholesale,$5-10 Million,B+
Hernandez Beef & Provisions,Oscar,Hernandez,Male,President,Hispanic,635 Henry St,Elizabeth,NJ,7201,Verified,(908) 352-8300,Hernandezbeef.Com,Meat Jobbers (Whls),$20-50 Million,A
Herr Foods Inc,William,Esolda,Male,Manager,Hispanic,790 New Brunswick Rd,Somerset,NJ,8873,Verified,(732) 356-1295,Herrfoods.Com,Potato Chips Corn Chips/Snacks (Mfrs),$20-50 Million,A+
Holland Greenhouses,Casey,Jansen,Male,Owner,Scandinavian,939 State Route 33 W,Monroe Township,NJ,8831,Verified,(609) 448-9222,Hollandgreenhousesinc.Com,Greenhouses,$1-2.5 Million,A+
Home Style Bakery,Thomas,Nyarko,Male,Manager,African American,142 Watsessing Ave,Bloomfield,NJ,7003,Verified,(973) 337-5889,NULL,Bakers-Wholesale,$2.5-5 Million,B
House Of Grace,Ozie,Pela,,Other,Hispanic,5337 Marlton Pike,Pennsauken,NJ,8109,Verified,(856) 486-4500,Hogchurch.Org,Churches,0,I
Ideal Fish & Seafood Co Inc,Ryan,Seabra,Male,Manager,Hispanic,93 New York Ave,Newark,NJ,7105,Verified,(973) 589-5337,NULL,Seafood-Wholesale,$10-20 Million,B+
Ideal Fish Market Inc,Julio,Pereira,Male,Owner,Hispanic,32 Pacific St,Newark,NJ,7105,Verified,(973) 589-5337,NULL,Seafood-Wholesale,$5-10 Million,B+
Innophos,Eugene,Lepelletier,Male,Vice President,Western Europe,72 Deforest Ave,East Hanover,NJ,7936,Verified,(973) 808-5900,Novelingredient.Com,Milling (Mfrs),$50-100 Million,A
Integrated Biopharma Inc,Christina,Kay,Female,CEO,Western Europe,225 Long Ave # 15,Hillside,NJ,7205,Verified,(973) 926-0816,Ibiopharma.Com,Health Food Products-Wholesale,0,A+
Integrity Propagation LLC,Lee,Abbott,Male,President,Western Europe,1 Speedwell Rd,Chatsworth,NJ,8019,Verified,(609) 997-0309,Integritypropagation.Com,Cranberry Growers,"Less Than $500,000",C+
International Flavors-Frgrncs,Ramon,Domingo,Male,Vice President,Hispanic,150 Docks Corner Rd,Dayton,NJ,8810,Verified,(732) 329-4600,NULL,Flavoring Extracts-Mfrs Supls (Mfrs),$500m - $1 Billion,A+
International Flavors-Frgrncs,Mark,Dewis,Male,Vice President,Western Europe,1515 State Route 36,Union Beach,NJ,7735,Verified,(732) 329-4600,NULL,Flavoring Extracts-Mfrs Supls (Mfrs),$500m - $1 Billion,A+
Interstate Caterers,Jorge,Amorim,Male,Sales,Hispanic,2101 Parker Ave,South Plainfield,NJ,7080,Verified,(908) 822-0500,Interstatecaterers.Com,Caterers,$1-2.5 Million,A
Interstate Connecting Cmpnents,Scott,Jacobs,Male,President,Western Europe,100c Mount Holly By Pass,Lumberton,NJ,8048,Verified,(888) 881-5420,Connecticc.Com,Connectors-Electric-Manufacturers,0,A+
Ise America Inc,Orlando,Santiago,Male,Manager,Hispanic,110 Good Springs Rd,Broadway,NJ,8808,Verified,(908) 454-4148,Ise.Com,Eggs (Whls),$50-100 Million,A+
J & J Sales Co,Hector,Garcia,Male,Owner,Hispanic,210 Malapardis Rd # 206,Cedar Knolls,NJ,7927,Verified,(973) 257-0440,Jj-Sales.Com,Food Brokers (Whls),$10-20 Million,B+
J & J Snack Foods,Bill,Dougherty,Male,Vice President,Western Europe,361 Benigno Blvd # A,Bellmawr,NJ,8031,Verified,(856) 933-3597,NULL,Food Products & Manufacturers,$20-50 Million,A+
J C Produce Distributor,Juan,Garcia,Male,Owner,Hispanic,227 Miller St # 229,Newark,NJ,7114,Verified,(973) 565-9739,Jctropicals.Com,Distribution Services,$2.5-5 Million,B+
Jersey Dairy Express,Carlos,Coelho,Male,Owner,Hispanic,527 Pennsylvania Ave,Elizabeth,NJ,7201,Verified,(908) 659-9696,Jerseydairyfarms.Com,Dairies (Milk),$1-2.5 Million,B
Jersey Pickles,Rogelio A,Morales Morale,Male,Owner,Hispanic,181 Fort Lee Rd # 2b,Teaneck,NJ,7666,Verified,(201) 737-8499,Jerseypickles.Com,Pickles & Pickle Products-Wholesale,$2.5-5 Million,C
Jetro,Nicholas,Altamura,Male,Manager,Mediterranean,1 Amity St,Jersey City,NJ,7304,Verified,(201) 434-4334,Restaurantdepot.Com,Grocers-Wholesale,$100-500 Million,A+
Johanna Foods Inc,Robert A,Facchina,Male,Owner,Mediterranean,1 Johanna Farms Rd,Ringoes,NJ,8551,Verified,(908) 788-3120,Johannafoods.Com,Frozen Fruit/Fruit Juices/Vegs (Mfrs),$100-500 Million,A+
Jolin Foods Inc,Joseph,Tabatchnick,Male,Owner,Uncoded,630 N Michigan Ave,Kenilworth,NJ,7033,Verified,(908) 686-1988,Jolinfoods.Com,Food Products (Whls),$20-50 Million,A
Juquila,Alba,Gonzalez,Female,Manager,Hispanic,106 Shrewsbury Ave,Red Bank,NJ,7701,Verified,(732) 383-5571,NULL,Grocers-Retail,"Less Than $500,000",C
Kalustyan,Luis,Ortiz,Male,Manager,Hispanic,1835 Burnet Ave # B,Union,NJ,7083,Verified,(908) 688-8492,NULL,Spices-Wholesale,$10-20 Million,B+
Kash's Farm,John,Kasharian,Male,Owner,Centl & SW Asian,181 Petersburg Rd # Rd4,Hackettstown,NJ,7840,Verified,(908) 852-0570,NULL,Farms,"Less Than $500,000",B
Key Food Stores Co-Op Inc,Dean,Janeway,Male,CEO,Western Europe,100 Matawan Rd # 100,Matawan,NJ,7747,Verified,(848) 202-3100,Keyfood.Com,Grocers-Retail,0,A+
Kohler Distributing Co,Gary,Graham,Male,President,Western Europe,150 Wagaraw Rd,Hawthorne,NJ,7506,Verified,(973) 423-2307,Kohlerdistributing.Co,Beer & Ale-Wholesale,$100-500 Million,A+
Krauses Candies,Nicole,Cinquegrana,Female,Owner,Hispanic,50 Bergen Blvd,Fairview,NJ,7022,Verified,(201) 943-4790,NULL,Candy & Confectionery-Retail,"$500,000-1 Million",B+
Kupelian Foods Inc,Yervant,Kupelian,Male,Owner,Centl & SW Asian,146 Bergen Tpke,Ridgefield Park,NJ,7660,Verified,(201) 440-8055,Kupelianfoods.Com,Engineers-Meat Packing & Food Processing,$1-2.5 Million,B+
L & S Chocolates,Sandy,Nunes,Female,Owner,Hispanic,103 E Main St,Maple Shade,NJ,8052,Verified,(856) 482-6926,Thecandyladies.Com,Candy & Confectionery-Retail,"Less Than $500,000",C+
L A Piccirillo Inc,Joann,D'Orazio,Female,Owner,Hispanic,10 Richards St,Newark,NJ,7105,Verified,(973) 589-8078,Danielcorp.Com,Beer & Ale-Wholesale,$20-50 Million,A+
LA Bella Mozzarella,James,Miller,Male,Owner,Western Europe,15 Arlington Ave,Kearny,NJ,7032,Verified,(201) 997-1737,Labellamozzarella.Com,Dairy Farms,"$500,000-1 Million",C+
LA Mixteca,Guillramo,Iglesias,Male,Owner,Hispanic,216 Midland Ave # A,Saddle Brook,NJ,7663,Verified,(551) 444-6600,Tortillasmixteca.Com,Tortillas (Whls),$5-10 Million,B
Lacas Coffee Co Inc,Jonathan,Del Re,Male,CEO,Hispanic,7950 National Hwy # A,Pennsauken,NJ,8110,Verified,(856) 910-8662,Lacascoffee.Com,Coffee & Tea Products-Manufacturers,$5-10 Million,A+
Lafortaleza,Manuela,Ortega,Female,Owner,Hispanic,32 Market St,Passaic,NJ,7055,Verified,(973) 405-6870,NULL,Restaurants,"Less Than $500,000",B
Lamonica Fine Foods,Danny,LA Vecchia,Male,Owner,Hispanic,48 Gorton Rd,Millville,NJ,8332,Verified,(856) 506-0010,NULL,Canned Specialties (Mfrs),$10-20 Million,A
Larosa Bakery Inc,Sal,LA Rosa,Male,Owner,Hispanic,79 Newman Springs Rd E,Shrewsbury,NJ,7702,Verified,(732) 842-2592,Ecannoli.Com,Wedding Supplies & Services,$2.5-5 Million,A
Leo Grocery,Andres,Hernandez,Male,Owner,Hispanic,199 Summer Ave,Newark,NJ,7104,Verified,(973) 481-2408,NULL,Grocers-Wholesale,$5-10 Million,B+
Liberty Richter,Pepper,Bynum,Female,Director,Western Europe,1455 Broad St,Bloomfield,NJ,7003,Verified,(973) 338-0300,Worldfiner.Com,Marketing Programs & Services,0,B+
Lollicup,Luis,Anezcua,Male,Owner,Hispanic,140 Meister Ave,Branchburg,NJ,8876,Verified,(732) 827-5816,Lollicupusa.Com,Paper & Plastic Cups Containers Etc-Mfrs,0,A+
Lorenzo Food Group,Joseph,Lorenzo,Male,President,Hispanic,196 Coolidge Ave,Englewood,NJ,7631,Verified,(201) 868-9088,Lorenzofoodgroup.Com,Food Products (Whls),$10-20 Million,A
Los Ranchos,Yoel,Machado,Male,Manager,Hispanic,434 Elizabeth Ave,Elizabeth,NJ,7206,Verified,(908) 351-8888,NULL,Meat-Wholesale,$10-20 Million,B+
"Lucero, Manuel",Manuel,Lucero,Male,0,Hispanic,861 N Pearl St,Bridgeton,NJ,8302,Verified,(856) 455-1696,NULL,Tortillas (Whls),$2.5-5 Million,C+
M V Foods,Martin,Valderrama,Male,Owner,Hispanic,300 Heron Dr,Swedesboro,NJ,8085,Verified,(856) 803-1269,Rastellifoodsgroup.Com,Food Brokers (Whls),$5-10 Million,B+
Mamamancini's Holdings Inc,Carl,Wolf,Male,CEO,Western Europe,25 Branca Rd,East Rutherford,NJ,7073,Verified,(201) 531-1212,Mamamancinis.Com,Food Products & Manufacturers,0,B+
Man Wholesale,Amado,Banos,Male,Owner,Hispanic,1110 13th St # 3,North Bergen,NJ,7047,Verified,(201) 865-8114,NULL,Grocers-Wholesale,$2.5-5 Million,B
Mane USA,Michel,Mane,Male,CEO,Hispanic,339 Jefferson Rd # 2,Parsippany,NJ,7054,Verified,(973) 633-5533,Mane.Com,Flavoring Extracts-Manufacturers,0,A+
Marie's Lobster House,Silvio,Romano,Male,President,Hispanic,4304 Park Rd,Sea Isle City,NJ,8243,Verified,(609) 263-8812,Mariesseafood.Com,Restaurants,"$500,000-1 Million",B+
Mary's Bakery,Zorilda,Vanegas,Female,Owner,Hispanic,6813 Park Ave,West New York,NJ,7093,Verified,(201) 869-8791,NULL,Bakers-Wholesale,$2.5-5 Million,B
Mascott Corp,Scott M,Gillman,Male,CEO,Not Available,620 Ramsey Ave,Hillside,NJ,7205,Verified,(908) 436-1800,Mascott.Com,Restaurant Management,"Less Than $500,000",B+
Maximum Human Performance,Timothy,Howe,Male,CEO,Western Europe,165 Clinton Rd,Caldwell,NJ,7006,Verified,(973) 575-7714,Mhpstrong.Com,Health Food Products-Manufacturers,$5-10 Million,A
Maximum Quality Foods,Gary,Roccaro,Male,Owner,Uncoded,3351 Tremley Point Rd,Linden,NJ,7036,Verified,(908) 474-0003,Maximumqualityfoods.Com,Food Products & Manufacturers,$50-100 Million,A
Mc Donald's,Agnes,Lopez,Female,Manager,Hispanic,403 Delsea Dr,Malaga,NJ,8328,Verified,(856) 694-5116,Mcdonalds.Com,Restaurants,$1-2.5 Million,A
Padron Distributor Wholesale,Richard,Padron,Male,Other,Hispanic,1 Hollywood Ct,South Plainfield,NJ,7080,Verified,(908) 941-5376,NULL,Seafood-Retail,"$500,000-1 Million",B
Padron Distributors Inc,Richard,Padron,Male,Owner,Hispanic,259 Bertrand Ave,Perth Amboy,NJ,8861,Verified,(732) 442-2310,NULL,Frozen Foods-Wholesale,$2.5-5 Million,C+
Paramount Bakeries Inc,David,Zabludovsky,Male,Director,Eastern European,418 N 5th St,Newark,NJ,7107,Verified,(973) 481-4763,Paramountbakeries.Com,Bread/Other Bakery Prod-Ex Cookies,$2.5-5 Million,A+
Paris Gourmet,Xavier,Noel,Male,President,African American,145 Grand St,Carlstadt,NJ,7072,Verified,(201) 939-5656,Parisgourmet.Com,Distribution Centers (Whls),$20-50 Million,A
Pat LA Frieda Wholesale Meat,Pat,LA Frieda,Male,CEO,Hispanic,3701 Tonnelle Ave,North Bergen,NJ,7047,Verified,(201) 537-8210,Lafrieda.Com,Meat-Wholesale,$5-10 Million,B+
Paulaur Corp,Andy,Toscano,Male,CEO,Hispanic,105 Melrich Rd,Cranbury,NJ,8512,Verified,(609) 395-8844,NULL,Manufacturing-Layered Processes (Mfrs),$10-20 Million,A+
Pechter's Baking Co,Keith,Amreidas,Male,Cio/Cto,Uncoded,840 Jersey St,Harrison,NJ,7029,Verified,(973) 483-3374,NULL,Bread/Other Bakery Prod-Ex Cookies,$50-100 Million,A+
Peerless Beverage Co,Richard,Salzman,Male,CEO,Not Available,1000 Floral Ave,Union,NJ,7083,Verified,(908) 351-0101,Peerlessbeverage.Com,Beverages (Whls),$100-500 Million,A
Penta International Corp,Mark,Esposito,Male,Owner,Mediterranean,50 Okner Pkwy,Livingston,NJ,7039,Verified,(973) 740-2300,Pentamfg.Com,Flavoring Extracts-Manufacturers,$10-20 Million,A+
Pepsi Beverages Co,Paul,Durlacher,Male,Other,Western Europe,680 Belleville Tpke,Kearny,NJ,7032,Verified,(201) 991-3478,NULL,Bottlers (Mfrs),$50-100 Million,A+
Pepsi Beverages Co,Stephen,Shincarick,Male,Other,Uncoded,3411 Sunset Ave,Ocean,NJ,7712,Verified,(201) 991-3478,NULL,Bottlers (Mfrs),$50-100 Million,A+
Pepsi Beverages Natl Brands,Reginald,Goins,Male,President,Western Europe,8275 N Crescent Blvd,Pennsauken,NJ,8110,Verified,(856) 486-0617,Pepsico.Com,Bottlers (Mfrs),$500m - $1 Billion,A+
Peru Food Import,Julio,Rivera,Male,President,Hispanic,815 Fairview Ave,Fairview,NJ,7022,Verified,(201) 553-0300,Perufoodimport.Com,Importers (Whls),$20-50 Million,A
Pet Valu,Casey,Corcoran,Male,Site Manager,Western Europe,319 US Highway 130 # 20,East Windsor,NJ,8520,Verified,(609) 371-7010,Us.Petvalu.Com,Pet Supplies & Foods-Retail,"$500,000-1 Million",B
Phil-AM Trading,Romy,Ferrer,Female,President,Hispanic,324 Hoboken Ave,Jersey City,NJ,7306,Verified,(201) 420-8595,Phil-Am.Com,Grocers-Retail,"Less Than $500,000",C+
Pineland Farms,Judee,DE Ficcio,Female,Owner,Hispanic,960 Spruce St,Trenton,NJ,8648,Verified,(609) 392-1550,Pinelandfarms.Org,Farms,$1-2.5 Million,B+
Pinho's Bakery,Raul,Pinho,Male,Owner,Hispanic,1027 Chestnut St,Roselle,NJ,7203,Verified,(908) 245-4388,Pinhosbakery.Net,Bakers-Retail,$1-2.5 Million,A
Pinho's Custard Cups LLC,Julie,Pinho,Female,Owner,Hispanic,301 Dalziel Rd,Linden,NJ,7036,Verified,(908) 275-3918,Pinhosfamouscustardcups.Com,Frozen Foods-Wholesale,$5-10 Million,B
Popular Fish Market,Manuel,Nata,Male,Owner,African American,129 Ferry St,Newark,NJ,7105,Verified,(973) 344-7939,NULL,Seafood-Wholesale,$5-10 Million,B+
Puratos Corp,Virginia,Baranski,Female,Partner,Eastern European,1660 Suckle Hwy,Pennsauken,NJ,8110,Verified,(856) 428-4300,Puratos.Com,Food Products (Whls),0,A+
Pure Inventions LLC,Lynne,Gerhards,Female,Owner,Western Europe,64 Grant Pl,Little Silver,NJ,7739,Verified,(732) 842-5777,Pureinventions.Com,Nutritionists,"$500,000-1 Million",B
Quik Pik,Joaquim M,Vieira,Male,President,Hispanic,94 Van Buren St,Newark,NJ,7105,Verified,(973) 344-1561,NULL,Grocers-Wholesale,$10-20 Million,A
R C Prime Provisions Inc,Ramiro,Contreras,Male,Manager,Hispanic,348 Leonard Dr,New Milford,NJ,7646,Verified,Not Available,NULL,Provisions-Wholesale,$5-10 Million,C+
R F Demarco Nursery Inc,R,Marco,Male,Owner,Hispanic,263 Basin Rd,Hammonton,NJ,8037,Verified,(609) 561-4640,NULL,Ornamental Floriculture & Nursery Prods,$1-2.5 Million,A
Rablos Meat,Sandro,Corrales,Male,Manager,Hispanic,405 70th St,Guttenberg,NJ,7093,Verified,(201) 453-9594,NULL,Meat-Wholesale,$5-10 Million,B+
Ray's Enterprises,Ray,Fernandez,Male,Owner,Hispanic,318 Astor St,Newark,NJ,7114,Verified,(973) 344-2241,NULL,Meat Products (Mfrs),$5-10 Million,A
RDD Associate LLC,Robert,Cignarella,Male,President,Mediterranean,930 Riverview Dr # 400,Totowa,NJ,7512,Verified,(973) 812-8070,Rddassociates.Com,Food Brokers (Whls),$100-500 Million,A+
Ready-Pac Produce,Ricardo,Moreno,Male,Director,Hispanic,700 Railroad Ave,Florence,NJ,8518,Verified,(609) 499-1900,NULL,Fruits & Vegetables & Produce-Retail,$50-100 Million,A
Regal Wine Imports,Daniel A,Bada,Male,CEO,Hispanic,2 Commerce Dr # 3,Moorestown,NJ,8057,Verified,(856) 234-7313,Regalwine.Com,Wines-Wholesale,$20-50 Million,A
Restaurant Depot,Walter,Gibb,Male,Manager,Western Europe,777 Secaucus Rd,Secaucus,NJ,7094,Verified,(201) 601-4755,Restaurantdepot.Com,Wholesale Clubs,$10-20 Million,A
Reta Botanica,Daniel,Higinio,Male,Owner,Hispanic,38 Broadway,Passaic,NJ,7055,Verified,(973) 777-3090,NULL,Health Food Products-Wholesale,$1-2.5 Million,C+
Rich Products Corp,James,Shradick,Male,Mfg Exec,Uncoded,1910 Gallagher Dr,Vineland,NJ,8360,Verified,(856) 696-5600,Richs.Com,Prepared Flour Mixes & Doughs (Mfrs),$20-50 Million,A+
Rico Foods Inc,Lazara,Fernandez,Female,Vice President,Hispanic,527 E 18th St,Paterson,NJ,7514,Verified,(973) 278-0589,NULL,Frozen Foods-Wholesale,$10-20 Million,B+
Rico Pan Bakery,Antonio,Carmona,Male,Owner,Hispanic,183 Main St,Hackettstown,NJ,7840,Verified,(908) 850-5741,NULL,Bakers-Wholesale,$2.5-5 Million,B
Rise'n Shine LLC,Cathy,Beggan,Female,Owner,Western Europe,17 Woodport Rd # 1e,Sparta,NJ,7871,Verified,(973) 729-4141,Rise-N-Shine.Com,Health Food Products-Wholesale,$2.5-5 Million,C+
Riviera Produce Corp,Ben,Friedman,Male,Owner,Not Available,205 Jackson St,Englewood,NJ,7631,Verified,(201) 227-7105,Rivieraproduce.Com,Food Products (Whls),$100-500 Million,A+
RLB Food Distributors,Robert L,Bildner,Male,CEO,Western Europe,2 Dedrick Pl,West Caldwell,NJ,7006,Verified,(973) 575-9526,Orders.Freshprofood.Com,Food Products (Whls),$10-20 Million,A
Robertet Flavors,Robert,Weinstein,Male,President,Not Available,10 Colonial Dr,Piscataway,NJ,8854,Verified,(732) 981-8300,Robertetusa.Com,Aromatherapy,$2.5-5 Million,B+
Roland Foods Inc,Aimee,Miralles,Female,Vice President,Hispanic,1 Industrial Rd # 199,Dayton,NJ,8810,Verified,(732) 438-0572,NULL,Food Products (Whls),$10-20 Million,B+
Royal Coffee New York,Fred,Schoenhut,Male,Manager,Western Europe,661 Hadley Rd,South Plainfield,NJ,7080,Verified,(908) 205-8799,Royalny.Com,Coffee Shops,"$500,000-1 Million",B+
Sam's Club,David,Winslow,Male,Site Manager,Western Europe,300 Park Pl,Secaucus,NJ,7094,Verified,(201) 974-0702,Samsclub.Com,Wholesale Clubs,$20-50 Million,A
San Miguel Live Poultry,Alex,Montalbo,Male,Manager,Hispanic,499 Orange St,Newark,NJ,7107,Verified,(973) 482-1007,NULL,Poultry Processing Plants (Mfrs),"Less Than $500,000",C+
Santa Mariana Grocery,Manuel,Jimenez,Male,Owner,Hispanic,2026 Bergenline Ave # 1,Union City,NJ,7087,Verified,(201) 330-1363,NULL,Grocers-Retail,"Less Than $500,000",C+
Santos Bakery,Abilio,Santos,Male,Owner,Hispanic,123 Hudson St,Newark,NJ,7103,Verified,(973) 732-7222,Santosbakery.Us,Bread/Other Bakery Prod-Ex Cookies,$2.5-5 Million,A+
Save-A-Lot Food Stores,Vicki,Holmes,Female,Manager,Western Europe,700 N 2nd St,Millville,NJ,8332,Verified,(856) 825-7079,Savealot.Com,Grocers-Retail,$5-10 Million,A
Seabrite Corp,Antonio,Seavra,Male,Owner,Hispanic,574 Ferry St,Newark,NJ,7105,Verified,(973) 491-0399,Seabragroup.Com,Frozen Foods-Wholesale,0,A
Seald Sweet INTL,Mayda,Sotomayor,Female,CEO,Hispanic,405 Pedricktown Rd,Swedesboro,NJ,8085,Verified,(856) 467-6691,Sealdsweet.Com,Fruits & Vegetables-Wholesale,$50-100 Million,A
Seashoreconstruction,Gary,Johnson,Male,Owner,Western Europe,2604 Tilton Rd,Egg Harbor Township,NJ,8234,Verified,(609) 382-0435,Seashoreconstruction.Net,Fiber Glass Fabricators (Mfrs),$5-10 Million,A+
Secor Farms,Darryl,Secor,Male,Owner,Hispanic,168 Airmont Ave,Mahwah,NJ,7430,Verified,(201) 529-2595,Secorfarms.Com,Farms,"$500,000-1 Million",B+
Sentrex Ingredients LLC,Naushad,Lalani,Male,Partner,Mediterranean,350 Cantor Ave,Linden,NJ,7036,Verified,(908) 862-4440,NULL,Flavoring Extracts (Whls),$10-20 Million,B+
Severino Pasta Mfg Co Inc,Louis,Severino,Male,Owner,Hispanic,110 Haddon Ave,Westmont,NJ,8108,Verified,(856) 854-7666,Severinopasta.Com,Pasta (Whls),$50-100 Million,A
Shop & Bag Meat Ctr,Juan,Torres,Male,Owner,Hispanic,705 Frelinghuysen Ave,Newark,NJ,7114,Verified,(973) 824-1700,NULL,Grocers-Wholesale,$5-10 Million,B+
Shoprite,Ray,Lotierzo,Male,General Mgr,Mediterranean,307 Route 70 W,Marlton,NJ,8053,Verified,(856) 983-7370,Shoprite.Com,Grocers-Retail,$20-50 Million,A+
Shoprite,Rich,Hachan,Male,General Mgr,Uncoded,10a State Route 23,Montague,NJ,7827,Verified,(856) 983-7370,Shoprite.Com,Grocers-Retail,$20-50 Million,A+
Shoprite Of Linden,George,Cabezudo,Male,Manager,Hispanic,637 W Edgar Rd,Linden,NJ,7036,Verified,(908) 523-0707,Shoprite.Com,Grocers-Retail,$50-100 Million,A
Shoprite Of Mansfield,John,Reinhart,Male,Manager,Western Europe,1965 State Route 57,Hackettstown,NJ,7840,Verified,(908) 852-1200,Shoprite.Com,Grocers-Retail,$20-50 Million,A+
Shoprite Of New Milford,Jose,Marroquin,Male,Manager,Hispanic,250 River Rd,New Milford,NJ,7646,Verified,(201) 262-8834,Shoprite.Com,Grocers-Retail,"$500,000-1 Million",B
