Name,Sheet Description,Description,Website,Type,City,State,Country,Facebook,Instagram,Twitter,Produce,Grain,Meat,Dairy,Fibers,Flowers,Value Added Products,Accepting Volunteers,Phone #,Email
Somali Bantu Community Association,,,https://somalibantumaine.org/somali-bantu-background/,,,ME,United States,,@somalibantumaine,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Barbara Norman’s Blueberry Patch,Barbara Norman’s Blueberry Patch // MI,,,,,MI,United States,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
D-Town Farm,D-Town Farm // MI,,http://dtownfarm.blogspot.com/,,Detroit,MI,United States,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Detroit Black Community Food Security Network,Detroit Black Community Food Security Network // MI,,https://www.dbcfsn.org/,,Detroit,MI,United States,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Bohlen Family Farms,Bohlen Family Farms // MO,,http://bohlenfamilyfarms.com/,,,MO,United States,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Shire Gate Farm,Shire Gate Farm // MO,,http://www.shiregatefarm.com/,,,MO,United States,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Nile Valley Aquaponics,,,http://nilevalleyaquaponics.com/our-story/,,,MO,United States,,@nilevalleyaquaponics,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Foot Print Farms,Foot Print Farms // MS,,https://footprintfarmsms.com/about/,,,MS,United States,,@footprintfarms,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Abanitu Farm,Abanitu Farm // NC,,http://www.abanituorganics.com/,,Roxboro,NC,United States,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Faithfull Farms,Faithfull Farms // NC,,https://faithfull-farms.square.site/,,Chapel Hill,NC,United States,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
First Fruits Farm,First Fruits Farm // NC,,https://wisdomforlife.org/firstfruitsfarm,,Louisburg,NC,United States,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Mother’s Finest Urban Farms,Mother’s Finest Urban Farms // NC,,https://www.mothersfinesturbanfarms.com/,,Winston Salem,NC,United States,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Oliver’s AgroForest,Oliver’s AgroForest // NC,,https://www.instagram.com/olivers.agroforest/?hl=en,,,NC,United States,,@olivers.agroforest,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Pine Knot Farms,Pine Knot Farms // NC,,https://www.pineknotfarmsnc.com/,,Hillsborough,NC,United States,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Sankofa Farms,Sankofa Farms // NC,,https://www.sankofafarmsllc.com/,,,NC,United States,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Savage Farms,Savage Farms // NC,,http://www.bflt.org/savage-farm.html,,Fresno,NC,United States,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Golden Organic Farm,Golden Organic Farm,,https://www.facebook.com/GoldenOrganicFarmLLC/,,Pinetops,NC,United States,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Growing High Point,,,https://growinghighpoint.org/about-us/,,,NC,United States,,@growinghighpoint,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Hempfinity,,,https://hempfinityus.com/pages/about-us,,,NC,United States,,@hempfinityus,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Kindered Seedlings,,,https://www.facebook.com/kindredseedlings/,,,NC,United States,,@kindredseedlings,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Moonlight Farms,,,https://www.moonlightfarmsnc.com/about-us,,,NC,United States,,@MoonlightfarmsNC,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Off Grid in Color,,,https://offgridincolors.com/#about,,,NC,United States,,@offgridincolor,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Tall Grass Food Box,,,https://www.tallgrassnc.com/,,,NC,United States,,@tallgrassfoodbox,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Urban Community Agrinomics Catawba Trail Farm,,,https://www.ucan.today/,,,NC,United States,,@urbancommunityagrinomics,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Fresh Start Farms,,,https://www.freshstartfarmsnh.com/,,,NH,United States,freshstartfarmsnh,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Free Haven Farms,,,https://freehaveneducationalfarms.com/about/,,,NJ,United States,,@freehavenfarms,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Green Acre Community Garden,,,https://greenacrecommunitygarden.org/aboutus,,,NJ,United States,,@paterson_green_acre,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Jannah on Grafton,,,https://soulphoodie.com/2020/05/17/newark-educators-transform-vacant-lot-into-an-urban-garden/,,,NJ,United States,,@newarksjog,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Morris Gbolo's World Crop Farms,,,http://site.worldcropsfarm.com/About.html,,,NJ,United States,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Ward's Farm NJ,,,http://wardsfarmnj.com/,,,NJ,United States,,@wardsfarmnj,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Zach & Zoë Sweet Bee Farm,,,https://zachandzoe.co/pages/our-story,,,NJ,United States,,@zachandzoehoney,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Sawasawa Organic Farming,,,https://www.facebook.com/pages/category/Urban-Farm/Sawasawa-Organic-Farming-412567292645919/,,,NM,United States,,@sawasawaorganicfarm,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Black Urban Growers,Black Urban Growers // NY,,http://blackurbangrowers.org/,,,NY,United States,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
BLK Projek - The Black Feminist Project,BLK Projek - The Black Feminist Project // NY,,http://www.theblackfeministproject.org/,,,NY,United States,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Brooklyn Rescue Mission Urban Harvest,Brooklyn Rescue Mission Urban Harvest // NY,,http://brmuhc.org/,,Brooklyn,NY,United States,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Corbin Hill Food Project,Corbin Hill Food Project // NY,,http://corbinhill-foodproject.org/,,,NY,United States,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
East New York Farms,East New York Farms // NY,,https://ucceny.org/enyf/,,,NY,United States,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
La Familia Verde,La Familia Verde // NY,,http://www.lafamiliaverde.org/,,,NY,United States,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Oko Farms,Oko Farms // NY,,https://www.okofarms.org/,,,NY,United States,,@okofarms,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Rise and Root Farm,Rise and Root Farm // NY,,http://www.riseandrootfarm.com/,,Chester,NY,United States,,@riseandrootfarm,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Rocky Acres Community Farm,Rocky Acres Community Farm // NY,,https://www.facebook.com/rockyacrescommunityfarm/,,,NY,United States,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Soul Fire Farm,Soul Fire Farm // NY,,http://www.soulfirefarm.org/,,Petersburg,NY,United States,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Triple J Farm,Triple J Farm // NY,,https://www.instagram.com/triplejfarm_ny/,,,NY,United States,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Wild Seed Community Farms,Wild Seed Community Farms // NY,,http://www.wildseedcommunity.org/,,,NY,United States,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Brooklyn Rescue Mission Bed Stuy Farm and Urban Harvest Center,,,http://brmuhc.org/about-us/,,,NY,United States,,@brooklyn_rescue_mission,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Hattie Carthan Community Market,,,https://www.hattiecarthancommunitymarket.com/about_us,,,NY,United States,,@hattie.carthan,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Isabahlia Garden,,,https://www.isabahlialoefinc.org/about,,,NY,United States,,@isabahlialoef,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
La Familia Verde,,,http://www.lafamiliaverde.org/about-us.html,,,NY,United States,,@lafamilia.verde,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Lomar Farms,,,https://www.lomarfarms.com/pages/about-us,,,NY,United States,,@lomarfarms,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Papa Rozier Farms,,,https://paparozierfarms.com/pages/how-we-make-it,,,NY,United States,,@paparozier,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Phoenix Community Garden,,,https://www.phoenixcommunitygarden.org/,,,NY,United States,Phoenix-Community-Garden,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Shinnecock Hemp,,,https://shinnecockhemp.com/,,,NY,United States,,@shinnecock_hemp,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Tehuti Ma'at,,,https://tehutimaat.org/about/,,,NY,United States,,@tehutimaat,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Universe City,,,https://www.universecity.nyc/about-universe-city-brownsville-brooklyn,,,NY,United States,,@universecitynyc,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Chateau Hough Vineyard,Chateau Hough Vineyard // OH,,https://www.chateauhough.com/,,,OH,United States,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Rid-All Green Partnership,Rid-All Green Partnership // OH,,http://www.greennghetto.org/,,,OH,United States,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Mudbone Grown Farm,Mudbone Grown Farm // OR,,https://www.mudbonegrown.com/home,,Portland,OR,United States,,@mudbonegrown,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Rainshadow Organics,Rainshadow Organics // OR,,http://www.rainshadoworganics.com/,,Sisters,OR,United States,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Black Futures Farm,,,https://blackfutures.farm/,,,OR,United States,,@blackfuturesfarm,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Cultivated Roots,,,,,,OR,United States,,@cultivated_roots_farm,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Raceme Farm Collective,,,https://racemefarmers.org/,,,OR,United States,,@racemefarmers,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Scrapberry Farm,,,https://scrapberryfarm.org/,,,OR,United States,,@scrapberryfarm,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Mill Creek Farm,Mill Creek Farm // PA,,http://www.millcreekurbanfarm.org/,,,PA,United States,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Soil Generation,Soil Generation // PA,,https://soilgeneration.org/,,,PA,United States,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
The Philadelphia Urban Creators,The Philadelphia Urban Creators // PA,,http://phillyurbancreators.org/,,,PA,United States,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Black Urban Gardeners and Farmers of Pittsburgh Co-op,,,https://bugfpc.com/about-us/,,,PA,United States,blackurbangardeners,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
MycoSymbitics,,,https://www.mycoshop.net/about,,,PA,United States,,@mycosymbiote,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
North Philly Peace Park,,,https://www.phillypeacepark.org/,,,PA,United States,,@northphillypeacepark,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Philly Forests,,,,,,PA,United States,,@phillyforests,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Sankofa at Bartram's Garden,,,https://bartramsgarden.org/farm/,,,PA,United States,,@sankofacommunityfarm,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Movement Ground Farm,Movement Ground Farm // RI,,https://movementgroundfarm.wordpress.com/,,,RI,United States,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Quaintly Farm,,,https://www.quaintlyfarm.com/,,,RI,United States,,@quaintlyfarmri,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Fresh Future Farm,Fresh Future Farm // SC,,https://www.freshfuturefarm.org/,,,SC,United States,,@freshfuturefarm,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Morning Glory Homestead,,,https://www.morninggloryhomestead.com/about-the-farm,,,SC,United States,,@morninggloryhomestead,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Craft Farms,,,https://www.craftorganization.org/about,,,TN,United States,,@craftfarms901,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Jacob’s Family Farm,Jacob’s Family Farm // TX,,https://www.jacobsfamilyfarms.com/,,,TX,United States,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Sweetwater Farms,Sweetwater Farms // TX,,https://sweetwaterfarmshtx.square.site/,,,TX,United States,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
We Over Me Farm,We Over Me Farm // TX,,https://www.pqc.edu/we-over-me-farm/,,,TX,United States,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Urban Dallas Farm and Rabbitry,,,,,,TX,United States,,@urbandallasfarm,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Haynie Farms,Haynie Farms // VA,,http://www.hayniefarms.com/,,Reedville,VA,United States,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Sylvanaqua Farms,Sylvanaqua Farms // VA,,https://www.sylvanaqua.com/,,Norfolk,VA,United States,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Vanguard Ranch Natural Gourmet,Vanguard Ranch Natural Gourmet // VA,,https://vanguard-ranch-natural-gourmet.ueniweb.com/,,,VA,United States,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Mighty Thundercloud,,,http://thundercloud.farm/,,,VA,United States,,@edibleforest,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
The Carter Farms,,,http://thecarterfarms.com/#about,,,VA,United States,,@carterfarmsva,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Clemmons Family Farm,Clemmons Family Farm // VT,,http://www.clemmonsfamilyfarm.org/,,,VT,United States,ClemmonsFarm,@clemmonsfarm,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
ZAFA wines,,,https://zafawines.com/the-motto,,,VT,United States,,@zafawines,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Clean Greens,Clean Greens // WA,,https://www.cleangreensfarm.net/,,Seattle,WA,United States,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Hilltop Urban Gardens,Hilltop Urban Gardens // WA,,https://www.hilltopurbanfarm.org/,,,WA,United States,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Sky Island Farm,Sky Island Farm // WA,,https://skyislandfarm.org/,,Humptulips,WA,United States,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Herban Farm,Herban Farm,,https://herbanfarmonline.com/,,Seattle,WA,United States,,@herbanfarmnw,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Ebony By Nature,,,https://www.instagram.com/p/CBABFlvAKyG/,,,WA,United States,,@ebony.by.nature,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Lesedi Farm,,,https://www.lesedifarm.com/about-us,,,WA,United States,,@lesedifarm20,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Log Hollow Farms,,,http://loghollowfarms.com/?fbclid=IwAR3BzSXnyZwrR0dhCZN4CEkn9hJtcvU6PQnmKankJ-LAcpKv76-H77VsLf4,,,WA,United States,,@loghollowfarms,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Nootka Farm Collective,,,http://www.nootkafarmcollective.com/,,,WA,United States,,@nootkafarmcollective,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Nurturing Roots Farm,,,https://www.facebook.com/NurturingRoots206/,,,WA,United States,,@nurturingrootsfarm,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Yes Farm,,,https://www.blackfarmerscollective.com/about,,,WA,United States,,@yesfarmofficial,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Love Land Acres Farm,Love Land Acres Farm // WI,,https://www.facebook.com/lovelandacresfarm/,,,WI,United States,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Earth Star Herbals,,,https://www.alysonmorgan.com/new-folder,,,WI,United States,,@alysonsimplygrows,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Source Farm,Source Farm,,www.thesourcefarm.com,,Johns Town,,Jamaica,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Sundance Harvest,Sundance Harvest,,https://www.sundanceharvestfarm.com/,,Toronto,,Canada,,@sundanceharvest,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Tuzini Farms,,,https://www.facebook.com/tuzinifarms/,,Lusaka,,Zambia,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Black Creek Community Farm,,,https://www.blackcreekfarm.ca/about-us/,,,,Canada,,@blackcreekcommunityfarm,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Farmer Brown Tha MC,,,https://www.farmerbrownthamc.com/,,,,United States,,@farmerbrownthamc,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Divine Natural Ancestry,,"""Divine Natural Ancestry is a collective of three spiritual kinfolk living on Dakota and Anishinaabe land. We are dedicated to choosing life, love, healing through Radical Liberation. We are stewards of the earth, healers, creators, warriors, and visionaries. We are called to use our gifts to continue our ancestors Revolution and heal trauma both interpersonally and communally.""",https://www.divinenaturalancestry.com/,,Minneapolis,MN,United States,,@divinenaturalancestry,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,divinenaturalancestry@gmail.com
,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
